key,tnea_code,college_name
205,2357,"V S B College of Engineering Technical Campus, Ealur Pirivu,
Solavampalayam Post, Coimbatore District 642109"
206,2358,"SCAD Institute of Technology, Anupatti, Pollachi-Palladam
Highways, Palladam, Tiruppur District 641664"
207,2360,"Suguna College of Engineering, Kalappatti Road, Civil
Aerodrome Post, Coimbatore District 641014"
208,2361,"Sasi Creative School of Architecture, Pollachi Main
Road, Myleripalayam, Coimbatore District 641032"
209,2364,"School of Architecture, Coimbatore Institute of Engineering and
Technology, Vellimalaipattinam, Narasipuram post,
Thondamuthur via, Coimbatore District - 641109"
210,2365,"Nehru School of Architecture, 451-D, Palakkad Main Road,
Kuniamuthur, Coimbatore District 641108"
211,2367,"Arjun College of Technology, Chettiyakkapalayam,
Kinathukadavu, Coimbatore District 642120"
212,2369,"Government College of Engineering, Chettikkarai Post,
Dharmapuri District 635 704"
213,2370,"Capital College of Architecture, Coimbatore District 641028"
214,2372,"Park Institute of Architecture, Avinashi Road, NH-47, Kaniyur,
Coimbatore District 641659"
215,2373,"Hindusthan School of Architecture, Othakkalmandabam Post,
Coimbatore District 641032"
216,2376,"Rathinam School of Architecture, Rathinam Techzone Campus
Pollachi Road, Coimbatore District 641021"
217,2377,"PSG Institute of Technology and Applied Research, Avinashi
Road, Neelambur, Coimbatore 641062"
218,2601,"Adhiyamaan College of Engineering (Autonomous), Hosur,
Krishnagiri District 635109"
219,2602,"Annai Mathammal Sheela Enginereing College, Erumapatty Post,
Namakkal District 637013"
220,2603,"Government College of Engineering, Bargur, Krishnagiri District
635104"
221,2606,"Jayam College of Engineering and Technology, Nallanur Post,
Dharmapuri District 636813"
222,2607,"K S Rangasamy College of Technology (Autonomous),
Tiruchengode, Namakkal District 637215"
223,2608,"M Kumarasamy College of Engineering (Autonomous),
Thalavapalayam, Karur District 639113"
224,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri,
Mallasamudram, Namakkal District 637503"
225,2610,"Muthayammal Engineering College, Rasipuram, Namakkal
District 637408"
226,2611,"Paavai Engineering College (Autonomous), NH-7, Pachal
Post, Namakkal District 637018"
227,2612,"P G P College of Engineering and Technology, Paramathi Post,
Namakkal District 637207"
228,2613,"K S R College of Engineering (Autonomous), Tiruchengode,
Namakkal District 637215"
229,2614,"S S M College of Engineering, Komarapalayam, Namakkal
District 638183"
230,2615,"Government College of Engineering (Autonomous), Karuppur,
Salem District 636011"
231,2616,"Sapthagiri College of Engineering, Periyanahalli Post, Dharmapuri
District 635205"
232,2617,"Sengunthar Engineering College, Tiruchengode, Namakkal
District 637205"
233,2618,"Sona College of Technology (Autonomous), Suramangalam Post,
Salem District 636005"
234,2620,"Vivekanandha College of Engineering for Women (Autonomous),
Sathinaickenpalayam, Elayampalayam Village, Kumaramangalam,
Namakkal District 637205"
235,2621,"Er. Perumal Manimekalai College of Engineering, Near
Koneripalli, Hosur, Krishnagiri District 635117"
236,2622,"V S B Engineering College, Kovai Road, Karur District 639111"
237,2623,"Mahendra College of Engineering, Attur Road, Minnampalli,
Valapady, Salem District 636106"
238,2624,"Gnanamani College of Technology, Pachal Post, Namakkal
District 637018"
239,2625,"The Kavery Engineering College, M Kalipatti Post, Mecheri,
Salem District 634453"
240,2627,"Selvam College of Technology, Pappanaickenpatti Post,
Namakkal District 637003"
241,2628,"Paavai College of Engineering, NH-7, Pachal Post, Namakkal
District 637018"
242,2629,"Sengunthar College of Engineering, Tiruchengode, Namakkal
District 637205"
243,2630,"Chettinad College of Engineering and Technology, NH-67, Trichy
Main Road, Puliyur C F, Karur District 639114"
244,2631,"King College of Technology, Nallur, N Pudupatty Post, Namakkal
District 637020"
245,2632,"Mahendra Institute of Technology, Mahendhirapuri,
Mallasamudram, Namakkal District 637503"
246,2633,"Vidyaa Vikas College of Engineering and Technology,
Varahoorampatti, Tiruchengode, Namakkal District 637 214"
247,2634,"Excel Engineering College, Pallakkapalayam, Sankari West Post,
Namakkal District 637303"
248,2635,"C M S College of Engineering, Emapuram Post, Namakkal
District 637003"
249,2636,"A V S Engineering College, Military Road, Ammapet, Salem
District 636003"
250,2638,"Mahendra Engineering College for Women, Kumaramangalam,
Namakkal District 637205"
251,2639,"Narasus Sarathy Institute of Technology, Poosaripatty Village,
Omalur Taluk, Salem District 636305"
252,2640,"Jayalakshmi Institute of Technology, Thoppur, Dharmapuri
District 635352"
253,2641,"Varuvan Vadivelan Institute of Technology, Nallanahalli,
Dharmapuri District 636701"
254,2642,"P S V College of Engineeering and Technology, Mittapalli,
Balinayanapalli Post, Elathagiri, Krishnagiri District 635108"
255,2643,"Bharathiyar Institute of Engineering for Women, Deviayakurichi,
Attur Taluk, Salem District 636112"
256,2646,"Tagore Institute of Engineering and Technology, Deviyakurichi,
Attur Taluk, Salem District 636112"
257,2647,"J K K Nataraja College of Engineering and Technology,
Komarapalayam Amani, Thattankuttai Panchayat, Namakkal
District 638183"
258,2648,"Annaporna Engineering College, Sankari Main Road, NH-47,
Periaseeragapadi, Salem District 636308"
259,2649,"Karur College of Engineering, Sanjay Nagar, Karur-Erode Main
Road, Athur Post, Karur District 639002"
260,2650,"Christ the King Engineering College, Cecilia Gardens,
Chikkarampalayam Village, Coimbatore District 641104"
261,2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi
Palayam, Tiruppur District 638660"
262,2652,"Al-Ameen Engineering College, Karundevan Palayam, Nanjai
Uthukuli Post, Erode District 638104"
263,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam
Post, Salem District 637504"
264,2656,"Builders Engineering College, Erode Road, Nathakadaiyur,
Kangeyam 638108"
265,2657,"Paavai College of Technology, NH-7, Pachal Post, Namakkal
District 637018"
266,2658,"V S A Group of Institutions, NH-47, Uthamasola Puram Post,
Salem District 636010"
267,2659,"Salem College of Engineering and Technology, Salem-Attur Main
Road, NH-68, Mettupatty Perumapalayam, Salem District 636111"
